Workout Name,Category,Target Muscle Group,Workout Type,Calories Burned,Difficulty Level,Preferred For
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Cycling,Endurance,Legs,Machine,500,Intermediate,Weight Loss
Dumbbell Curls,Strength,Arms,Free Weights,100,Beginner,Muscle Gain
Bench Press,Strength,Chest,Free Weights,200,Intermediate,Muscle Gain
Dumbbell Curls,Strength,Arms,Free Weights,100,Beginner,Muscle Gain
Dumbbell Curls,Strength,Arms,Free Weights,100,Beginner,Muscle Gain
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Burpees,Cardio,Full Body,Bodyweight,350,Advanced,Weight Loss
Cycling,Endurance,Legs,Machine,500,Intermediate,Weight Loss
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Elliptical Machine,Cardio,Full Body,Machine,350,Intermediate,Weight Loss
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Lunges,Strength,Legs,Bodyweight,120,Beginner,Muscle Gain
Battle Ropes,Endurance,Arms,Resistance Bands,400,Advanced,Weight Loss
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Bench Press,Strength,Chest,Free Weights,200,Intermediate,Muscle Gain
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Lunges,Strength,Legs,Bodyweight,120,Beginner,Muscle Gain
Pull-Ups,Strength,Back,Bodyweight,200,Advanced,Muscle Gain
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Treadmill Running,Cardio,Full Body,Machine,400,Intermediate,Weight Loss
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Pull-Ups,Strength,Back,Bodyweight,200,Advanced,Muscle Gain
Treadmill Running,Cardio,Full Body,Machine,400,Intermediate,Weight Loss
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Elliptical Machine,Cardio,Full Body,Machine,350,Intermediate,Weight Loss
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Dumbbell Curls,Strength,Arms,Free Weights,100,Beginner,Muscle Gain
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Elliptical Machine,Cardio,Full Body,Machine,350,Intermediate,Weight Loss
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Pull-Ups,Strength,Back,Bodyweight,200,Advanced,Muscle Gain
Treadmill Running,Cardio,Full Body,Machine,400,Intermediate,Weight Loss
Battle Ropes,Endurance,Arms,Resistance Bands,400,Advanced,Weight Loss
Pull-Ups,Strength,Back,Bodyweight,200,Advanced,Muscle Gain
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Treadmill Running,Cardio,Full Body,Machine,400,Intermediate,Weight Loss
Cycling,Endurance,Legs,Machine,500,Intermediate,Weight Loss
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Jump Rope,Cardio,Full Body,Bodyweight,300,Intermediate,Weight Loss
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Lunges,Strength,Legs,Bodyweight,120,Beginner,Muscle Gain
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Jump Rope,Cardio,Full Body,Bodyweight,300,Intermediate,Weight Loss
Pull-Ups,Strength,Back,Bodyweight,200,Advanced,Muscle Gain
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Battle Ropes,Endurance,Arms,Resistance Bands,400,Advanced,Weight Loss
Battle Ropes,Endurance,Arms,Resistance Bands,400,Advanced,Weight Loss
Battle Ropes,Endurance,Arms,Resistance Bands,400,Advanced,Weight Loss
Treadmill Running,Cardio,Full Body,Machine,400,Intermediate,Weight Loss
Lunges,Strength,Legs,Bodyweight,120,Beginner,Muscle Gain
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Lunges,Strength,Legs,Bodyweight,120,Beginner,Muscle Gain
Treadmill Running,Cardio,Full Body,Machine,400,Intermediate,Weight Loss
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Burpees,Cardio,Full Body,Bodyweight,350,Advanced,Weight Loss
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Bench Press,Strength,Chest,Free Weights,200,Intermediate,Muscle Gain
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Battle Ropes,Endurance,Arms,Resistance Bands,400,Advanced,Weight Loss
Cycling,Endurance,Legs,Machine,500,Intermediate,Weight Loss
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Elliptical Machine,Cardio,Full Body,Machine,350,Intermediate,Weight Loss
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Pull-Ups,Strength,Back,Bodyweight,200,Advanced,Muscle Gain
Pull-Ups,Strength,Back,Bodyweight,200,Advanced,Muscle Gain
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Cycling,Endurance,Legs,Machine,500,Intermediate,Weight Loss
Bench Press,Strength,Chest,Free Weights,200,Intermediate,Muscle Gain
Jump Rope,Cardio,Full Body,Bodyweight,300,Intermediate,Weight Loss
Burpees,Cardio,Full Body,Bodyweight,350,Advanced,Weight Loss
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Battle Ropes,Endurance,Arms,Resistance Bands,400,Advanced,Weight Loss
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Pull-Ups,Strength,Back,Bodyweight,200,Advanced,Muscle Gain
Dumbbell Curls,Strength,Arms,Free Weights,100,Beginner,Muscle Gain
Elliptical Machine,Cardio,Full Body,Machine,350,Intermediate,Weight Loss
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Lunges,Strength,Legs,Bodyweight,120,Beginner,Muscle Gain
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Dumbbell Curls,Strength,Arms,Free Weights,100,Beginner,Muscle Gain
Burpees,Cardio,Full Body,Bodyweight,350,Advanced,Weight Loss
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Pull-Ups,Strength,Back,Bodyweight,200,Advanced,Muscle Gain
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Elliptical Machine,Cardio,Full Body,Machine,350,Intermediate,Weight Loss
Lunges,Strength,Legs,Bodyweight,120,Beginner,Muscle Gain
Treadmill Running,Cardio,Full Body,Machine,400,Intermediate,Weight Loss
Treadmill Running,Cardio,Full Body,Machine,400,Intermediate,Weight Loss
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Elliptical Machine,Cardio,Full Body,Machine,350,Intermediate,Weight Loss
Lunges,Strength,Legs,Bodyweight,120,Beginner,Muscle Gain
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Cycling,Endurance,Legs,Machine,500,Intermediate,Weight Loss
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Battle Ropes,Endurance,Arms,Resistance Bands,400,Advanced,Weight Loss
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Treadmill Running,Cardio,Full Body,Machine,400,Intermediate,Weight Loss
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Jump Rope,Cardio,Full Body,Bodyweight,300,Intermediate,Weight Loss
Bench Press,Strength,Chest,Free Weights,200,Intermediate,Muscle Gain
Bench Press,Strength,Chest,Free Weights,200,Intermediate,Muscle Gain
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Treadmill Running,Cardio,Full Body,Machine,400,Intermediate,Weight Loss
Dumbbell Curls,Strength,Arms,Free Weights,100,Beginner,Muscle Gain
Elliptical Machine,Cardio,Full Body,Machine,350,Intermediate,Weight Loss
Cycling,Endurance,Legs,Machine,500,Intermediate,Weight Loss
Bench Press,Strength,Chest,Free Weights,200,Intermediate,Muscle Gain
Burpees,Cardio,Full Body,Bodyweight,350,Advanced,Weight Loss
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Burpees,Cardio,Full Body,Bodyweight,350,Advanced,Weight Loss
Bench Press,Strength,Chest,Free Weights,200,Intermediate,Muscle Gain
Dumbbell Curls,Strength,Arms,Free Weights,100,Beginner,Muscle Gain
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Bench Press,Strength,Chest,Free Weights,200,Intermediate,Muscle Gain
Treadmill Running,Cardio,Full Body,Machine,400,Intermediate,Weight Loss
Jump Rope,Cardio,Full Body,Bodyweight,300,Intermediate,Weight Loss
Jump Rope,Cardio,Full Body,Bodyweight,300,Intermediate,Weight Loss
Bench Press,Strength,Chest,Free Weights,200,Intermediate,Muscle Gain
Treadmill Running,Cardio,Full Body,Machine,400,Intermediate,Weight Loss
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Battle Ropes,Endurance,Arms,Resistance Bands,400,Advanced,Weight Loss
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Cycling,Endurance,Legs,Machine,500,Intermediate,Weight Loss
Jump Rope,Cardio,Full Body,Bodyweight,300,Intermediate,Weight Loss
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Pull-Ups,Strength,Back,Bodyweight,200,Advanced,Muscle Gain
Treadmill Running,Cardio,Full Body,Machine,400,Intermediate,Weight Loss
Lunges,Strength,Legs,Bodyweight,120,Beginner,Muscle Gain
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Burpees,Cardio,Full Body,Bodyweight,350,Advanced,Weight Loss
Lunges,Strength,Legs,Bodyweight,120,Beginner,Muscle Gain
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Burpees,Cardio,Full Body,Bodyweight,350,Advanced,Weight Loss
Battle Ropes,Endurance,Arms,Resistance Bands,400,Advanced,Weight Loss
Pull-Ups,Strength,Back,Bodyweight,200,Advanced,Muscle Gain
Elliptical Machine,Cardio,Full Body,Machine,350,Intermediate,Weight Loss
Dumbbell Curls,Strength,Arms,Free Weights,100,Beginner,Muscle Gain
Elliptical Machine,Cardio,Full Body,Machine,350,Intermediate,Weight Loss
Treadmill Running,Cardio,Full Body,Machine,400,Intermediate,Weight Loss
Elliptical Machine,Cardio,Full Body,Machine,350,Intermediate,Weight Loss
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Burpees,Cardio,Full Body,Bodyweight,350,Advanced,Weight Loss
Lunges,Strength,Legs,Bodyweight,120,Beginner,Muscle Gain
Lunges,Strength,Legs,Bodyweight,120,Beginner,Muscle Gain
Bench Press,Strength,Chest,Free Weights,200,Intermediate,Muscle Gain
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Treadmill Running,Cardio,Full Body,Machine,400,Intermediate,Weight Loss
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Cycling,Endurance,Legs,Machine,500,Intermediate,Weight Loss
Cycling,Endurance,Legs,Machine,500,Intermediate,Weight Loss
Cycling,Endurance,Legs,Machine,500,Intermediate,Weight Loss
Dumbbell Curls,Strength,Arms,Free Weights,100,Beginner,Muscle Gain
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Battle Ropes,Endurance,Arms,Resistance Bands,400,Advanced,Weight Loss
Lunges,Strength,Legs,Bodyweight,120,Beginner,Muscle Gain
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Burpees,Cardio,Full Body,Bodyweight,350,Advanced,Weight Loss
Burpees,Cardio,Full Body,Bodyweight,350,Advanced,Weight Loss
Cycling,Endurance,Legs,Machine,500,Intermediate,Weight Loss
Pull-Ups,Strength,Back,Bodyweight,200,Advanced,Muscle Gain
Pull-Ups,Strength,Back,Bodyweight,200,Advanced,Muscle Gain
Elliptical Machine,Cardio,Full Body,Machine,350,Intermediate,Weight Loss
Battle Ropes,Endurance,Arms,Resistance Bands,400,Advanced,Weight Loss
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Burpees,Cardio,Full Body,Bodyweight,350,Advanced,Weight Loss
Cycling,Endurance,Legs,Machine,500,Intermediate,Weight Loss
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Jump Rope,Cardio,Full Body,Bodyweight,300,Intermediate,Weight Loss
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Burpees,Cardio,Full Body,Bodyweight,350,Advanced,Weight Loss
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Yoga,Flexibility,Full Body,Bodyweight,180,Beginner,General Fitness
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Burpees,Cardio,Full Body,Bodyweight,350,Advanced,Weight Loss
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Lunges,Strength,Legs,Bodyweight,120,Beginner,Muscle Gain
Burpees,Cardio,Full Body,Bodyweight,350,Advanced,Weight Loss
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Dumbbell Curls,Strength,Arms,Free Weights,100,Beginner,Muscle Gain
Lunges,Strength,Legs,Bodyweight,120,Beginner,Muscle Gain
Lunges,Strength,Legs,Bodyweight,120,Beginner,Muscle Gain
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Burpees,Cardio,Full Body,Bodyweight,350,Advanced,Weight Loss
Burpees,Cardio,Full Body,Bodyweight,350,Advanced,Weight Loss
Cycling,Endurance,Legs,Machine,500,Intermediate,Weight Loss
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Dumbbell Curls,Strength,Arms,Free Weights,100,Beginner,Muscle Gain
Jump Rope,Cardio,Full Body,Bodyweight,300,Intermediate,Weight Loss
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Bench Press,Strength,Chest,Free Weights,200,Intermediate,Muscle Gain
Jump Rope,Cardio,Full Body,Bodyweight,300,Intermediate,Weight Loss
Cycling,Endurance,Legs,Machine,500,Intermediate,Weight Loss
Dumbbell Curls,Strength,Arms,Free Weights,100,Beginner,Muscle Gain
Jump Rope,Cardio,Full Body,Bodyweight,300,Intermediate,Weight Loss
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Pull-Ups,Strength,Back,Bodyweight,200,Advanced,Muscle Gain
Treadmill Running,Cardio,Full Body,Machine,400,Intermediate,Weight Loss
Cycling,Endurance,Legs,Machine,500,Intermediate,Weight Loss
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Deadlifts,Strength,Full Body,Free Weights,250,Advanced,Muscle Gain
Battle Ropes,Endurance,Arms,Resistance Bands,400,Advanced,Weight Loss
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Plank,Core,Core,Bodyweight,50,Beginner,General Fitness
Squats,Strength,Legs,Bodyweight,150,Beginner,Muscle Gain
Elliptical Machine,Cardio,Full Body,Machine,350,Intermediate,Weight Loss
Battle Ropes,Endurance,Arms,Resistance Bands,400,Advanced,Weight Loss
Jump Rope,Cardio,Full Body,Bodyweight,300,Intermediate,Weight Loss
Jump Rope,Cardio,Full Body,Bodyweight,300,Intermediate,Weight Loss
Push-Ups,Strength,Chest,Bodyweight,100,Beginner,Muscle Gain
Bench Press,Strength,Chest,Free Weights,200,Intermediate,Muscle Gain
